
SetupTitle, Endurance Measure 1kHz After 250 000 Cycles(1)(1)(1)
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Scale.LogTickedDecadeCount, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LogoVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.SetupSummaryVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeColorEnabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MinorTicksValueVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ParametersVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridNumberFixity, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.AddsVerticalMargin, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Notes, 
AnalysisSetup, Analysis.Setup.Vector.Graph.SetupInfo, 		0	0	0
AnalysisSetup, Analysis.Setup.Vector.List.Datum.Name, MeasResult1_time, MeasResult1_value, MeasResult2_time, MeasResult2_value
AnalysisSetup, Analysis.Setup.Vector.List.Datum.Unit, , , , 
AnalysisSetup, Analysis.Setup.Preference.GraphVisible, true
AnalysisSetup, Analysis.Setup.Preference.ListVisible, true
AnalysisSetup, Analysis.Setup.Preference.ScalarVisible, true
AnalysisSetup, Analysis.Setup.Title, Measurement Result
Dimension1, 500, 500, 500, 500, 500
Dimension2, 1, 1, 1, 1, 1
DataName, Time, MeasResult1_value, MeasResult2_value, MeasResult1_time, MeasResult2_time
DataValue, 5E-06, -2.17395566E-07, 0.054002225399017, 5E-06, 5E-06
DataValue, 1.5E-05, -2.4551457000000004E-07, 0.11388786882162101, 1.5E-05, 1.5E-05
DataValue, 2.5E-05, -2.52233406E-07, 0.173225834965706, 2.5E-05, 2.5E-05
DataValue, 3.5000000000000004E-05, -2.8273262800000005E-07, 0.23380003869533503, 3.5000000000000004E-05, 3.5000000000000004E-05
DataValue, 4.5E-05, -2.6536974900000004E-07, 0.294264018535614, 4.5E-05, 4.5E-05
DataValue, 5.5E-05, -2.7872684400000005E-07, 0.35346636176109303, 5.5E-05, 5.5E-05
DataValue, 6.5000000000000008E-05, -3.0160123300000003E-07, 0.41350346803665206, 6.5000000000000008E-05, 6.5000000000000008E-05
DataValue, 7.5000000000000007E-05, -2.9359876000000004E-07, 0.473802953958511, 7.5000000000000007E-05, 7.5000000000000007E-05
DataValue, 8.5E-05, -2.9912783400000004E-07, 0.533233165740967, 8.5E-05, 8.5E-05
DataValue, 9.5E-05, -3.1618100100000005E-07, 0.593297779560089, 9.5E-05, 9.5E-05
DataValue, 0.000105, -3.04160835E-07, 0.653594076633453, 0.000105, 0.000105
DataValue, 0.000115, -3.1511737600000004E-07, 0.713442385196686, 0.000115, 0.000115
DataValue, 0.000125, -3.2878765E-07, 0.77338260412216209, 0.000125, 0.000125
DataValue, 0.000135, -3.20364052E-07, 0.833559572696686, 0.000135, 0.000135
DataValue, 0.000145, -3.32253222E-07, 0.89343249797821012, 0.000145, 0.000145
DataValue, 0.000155, -3.42387864E-07, 0.95299696922302213, 0.000155, 0.000155
DataValue, 0.000165, -3.5521171100000003E-07, 1.013354539871216, 0.000165, 0.000165
DataValue, 0.000175, -3.56625691E-07, 1.0738301277160651, 0.000175, 0.000175
DataValue, 0.00018500000000000002, -3.67543691E-07, 1.133525967597961, 0.00018500000000000002, 0.00018500000000000002
DataValue, 0.00019500000000000002, -3.8721248100000004E-07, 1.1934454441070561, 0.00019500000000000002, 0.00019500000000000002
DataValue, 0.00020500000000000002, -3.96367568E-07, 1.2537893056869511, 0.00020500000000000002, 0.00020500000000000002
DataValue, 0.00021500000000000002, -4.2153391200000005E-07, 1.3137410879135132, 0.00021500000000000002, 0.00021500000000000002
DataValue, 0.00022500000000000002, -4.3888206800000006E-07, 1.3735527992248542, 0.00022500000000000002, 0.00022500000000000002
DataValue, 0.00023500000000000002, -4.7795617800000008E-07, 1.4333662986755371, 0.00023500000000000002, 0.00023500000000000002
DataValue, 0.000245, -4.9440046700000009E-07, 1.4936939477920532, 0.000245, 0.000245
DataValue, 0.000255, -5.26233066E-07, 1.5534210205078132, 0.000255, 0.000255
DataValue, 0.000265, -5.62662876E-07, 1.613227486610413, 0.000265, 0.000265
DataValue, 0.000275, -5.95787526E-07, 1.6736403703689582, 0.000275, 0.000275
DataValue, 0.00028500000000000004, -6.17549972E-07, 1.7336465120315552, 0.00028500000000000004, 0.00028500000000000004
DataValue, 0.000295, -6.33467323E-07, 1.7930957078933723, 0.000295, 0.000295
DataValue, 0.00030500000000000004, -6.2958832800000009E-07, 1.8533437252044682, 0.00030500000000000004, 0.00030500000000000004
DataValue, 0.000315, -6.35686376E-07, 1.9136527776718142, 0.000315, 0.000315
DataValue, 0.00032500000000000004, -6.2785414900000007E-07, 1.9732509851455691, 0.00032500000000000004, 0.00032500000000000004
DataValue, 0.000335, -6.015401370000001E-07, 2.0333223342895512, 0.000335, 0.000335
DataValue, 0.00034500000000000004, -5.76646357E-07, 2.0938971042633061, 0.00034500000000000004, 0.00034500000000000004
DataValue, 0.000355, -5.5210568900000007E-07, 2.153612613677979, 0.000355, 0.000355
DataValue, 0.00036500000000000004, -5.34427556E-07, 2.2134933471679692, 0.00036500000000000004, 0.00036500000000000004
DataValue, 0.000375, -4.94901485E-07, 2.273695707321167, 0.000375, 0.000375
DataValue, 0.00038500000000000003, -4.7255326800000003E-07, 2.3337676525115971, 0.00038500000000000003, 0.00038500000000000003
DataValue, 0.000395, -4.52822093E-07, 2.3934991359710693, 0.000395, 0.000395
DataValue, 0.00040500000000000003, -4.3326750200000006E-07, 2.4534826278686523, 0.00040500000000000003, 0.00040500000000000003
DataValue, 0.000415, -4.31793978E-07, 2.5132005214691162, 0.000415, 0.000415
DataValue, 0.00042500000000000003, -4.1987189500000006E-07, 2.5731394290924072, 0.00042500000000000003, 0.00042500000000000003
DataValue, 0.000435, -4.15194165E-07, 2.633103609085083, 0.000435, 0.000435
DataValue, 0.00044500000000000003, -4.1165222300000003E-07, 2.6936454772949223, 0.00044500000000000003, 0.00044500000000000003
DataValue, 0.00045500000000000006, -4.2259614500000003E-07, 2.753159761428833, 0.00045500000000000006, 0.00045500000000000006
DataValue, 0.000465, -4.34216929E-07, 2.8127510547637944, 0.000465, 0.000465
DataValue, 0.00047500000000000005, -4.50090141E-07, 2.8730237483978271, 0.00047500000000000005, 0.00047500000000000005
DataValue, 0.000485, -4.6162963900000005E-07, 2.9332320690155034, 0.000485, 0.000485
DataValue, 0.000495, -4.9891076500000009E-07, 2.993149042129517, 0.000495, 0.000495
DataValue, 0.000505, 4.3220410000000004E-08, 2.9932403564453134, 0.000505, 0.000505
DataValue, 0.000515, 1.1539820100000001E-07, 2.93351411819458, 0.000515, 0.000515
DataValue, 0.00052500000000000008, 1.43578163E-07, 2.8732938766479492, 0.00052500000000000008, 0.00052500000000000008
DataValue, 0.000535, 1.55610948E-07, 2.8132209777832031, 0.000535, 0.000535
DataValue, 0.000545, 1.7253027800000003E-07, 2.753501176834106, 0.000545, 0.000545
DataValue, 0.000555, 1.9440761900000002E-07, 2.69388222694397, 0.000555, 0.000555
DataValue, 0.00056500000000000007, 1.8518596800000002E-07, 2.6333587169647221, 0.00056500000000000007, 0.00056500000000000007
DataValue, 0.000575, 2.03033707E-07, 2.5735526084899902, 0.000575, 0.000575
DataValue, 0.000585, 1.99928991E-07, 2.5136229991912842, 0.000585, 0.000585
DataValue, 0.000595, 2.0022257300000002E-07, 2.4535098075866704, 0.000595, 0.000595
DataValue, 0.00060500000000000007, 2.1194215100000003E-07, 2.3934669494628911, 0.00060500000000000007, 0.00060500000000000007
DataValue, 0.000615, 2.0798050600000002E-07, 2.334071159362793, 0.000615, 0.000615
DataValue, 0.000625, 2.10460215E-07, 2.2745518684387211, 0.000625, 0.000625
DataValue, 0.000635, 2.03871721E-07, 2.2138044834136963, 0.000635, 0.000635
DataValue, 0.00064500000000000007, 2.13389058E-07, 2.154027938842773, 0.00064500000000000007, 0.00064500000000000007
DataValue, 0.00065500000000000009, 2.1240039400000002E-07, 2.094274520874023, 0.00065500000000000009, 0.00065500000000000009
DataValue, 0.000665, 2.12527226E-07, 2.033915758132935, 0.000665, 0.000665
DataValue, 0.000675, 2.0973151E-07, 1.9742357730865481, 0.000675, 0.000675
DataValue, 0.00068500000000000006, 2.0736040100000002E-07, 1.9145128726959231, 0.00068500000000000006, 0.00068500000000000006
DataValue, 0.00069500000000000009, 2.00339585E-07, 1.85404109954834, 0.00069500000000000009, 0.00069500000000000009
DataValue, 0.000705, 2.2524037000000002E-07, 1.79382050037384, 0.000705, 0.000705
DataValue, 0.000715, 2.0709624900000002E-07, 1.7344646453857422, 0.000715, 0.000715
DataValue, 0.00072500000000000006, 2.09039229E-07, 1.6745015382766721, 0.00072500000000000006, 0.00072500000000000006
DataValue, 0.00073500000000000008, 2.1074959000000003E-07, 1.6138526201248171, 0.00073500000000000008, 0.00073500000000000008
DataValue, 0.000745, 2.1190150800000003E-07, 1.5541955232620242, 0.000745, 0.000745
DataValue, 0.000755, 2.0531581400000002E-07, 1.4945955276489262, 0.000755, 0.000755
DataValue, 0.00076500000000000005, 2.0437900600000003E-07, 1.43415379524231, 0.00076500000000000005, 0.00076500000000000005
DataValue, 0.00077500000000000008, 2.1237237E-07, 1.37402331829071, 0.00077500000000000008, 0.00077500000000000008
DataValue, 0.000785, 2.0992840200000003E-07, 1.3142993450164802, 0.000785, 0.000785
DataValue, 0.000795, 2.0353678600000002E-07, 1.2541354894638062, 0.000795, 0.000795
DataValue, 0.000805, 2.06120902E-07, 1.1939282417297361, 0.000805, 0.000805
DataValue, 0.00081500000000000008, 2.0451494700000002E-07, 1.1341046094894411, 0.00081500000000000008, 0.00081500000000000008
DataValue, 0.0008250000000000001, 1.97173918E-07, 1.074137210845947, 0.0008250000000000001, 0.0008250000000000001
DataValue, 0.000835, 2.0583011900000002E-07, 1.013846874237061, 0.000835, 0.000835
DataValue, 0.000845, 2.0621058600000003E-07, 0.95368868112564109, 0.000845, 0.000845
DataValue, 0.00085500000000000007, 1.99494565E-07, 0.89389669895172108, 0.00085500000000000007, 0.00085500000000000007
DataValue, 0.0008650000000000001, 2.08052683E-07, 0.834111094474792, 0.0008650000000000001, 0.0008650000000000001
DataValue, 0.000875, 1.97297936E-07, 0.77378803491592407, 0.000875, 0.000875
DataValue, 0.000885, 1.9593090900000002E-07, 0.714010834693909, 0.000885, 0.000885
DataValue, 0.00089500000000000007, 1.95272264E-07, 0.65424180030822709, 0.00089500000000000007, 0.00089500000000000007
DataValue, 0.0009050000000000001, 2.0658194400000003E-07, 0.59371513128280606, 0.0009050000000000001, 0.0009050000000000001
DataValue, 0.000915, 1.97296529E-07, 0.533755540847778, 0.000915, 0.000915
DataValue, 0.000925, 2.0820331800000002E-07, 0.474488347768784, 0.000925, 0.000925
DataValue, 0.00093500000000000007, 1.9333418800000002E-07, 0.414205074310303, 0.00093500000000000007, 0.00093500000000000007
DataValue, 0.00094500000000000009, 1.90860789E-07, 0.35430955886840804, 0.00094500000000000009, 0.00094500000000000009
DataValue, 0.000955, 2.0226015400000002E-07, 0.29470849037170405, 0.000955, 0.000955
DataValue, 0.000965, 1.95178373E-07, 0.23454178869724301, 0.000965, 0.000965
DataValue, 0.00097500000000000006, 2.07155111E-07, 0.174078524112701, 0.00097500000000000006, 0.00097500000000000006
DataValue, 0.000985, 2.04457479E-07, 0.11446759849786801, 0.000985, 0.000985
DataValue, 0.000995, 1.99420995E-07, 0.054608017206192, 0.000995, 0.000995
DataValue, 0.001005, 2.06567236E-07, -0.0059256856329740005, 0.001005, 0.001005
DataValue, 0.001015, 2.24089845E-07, -0.065934956073761, 0.001015, 0.001015
DataValue, 0.001025, 2.1184686700000003E-07, -0.125503972172737, 0.001025, 0.001025
DataValue, 0.0010350000000000001, 2.31353098E-07, -0.18579746782779702, 0.0010350000000000001, 0.0010350000000000001
DataValue, 0.0010450000000000001, 2.38730564E-07, -0.24568028748035403, 0.0010450000000000001, 0.0010450000000000001
DataValue, 0.0010550000000000002, 2.4306288500000004E-07, -0.30558285117149303, 0.0010550000000000002, 0.0010550000000000002
DataValue, 0.001065, 2.57082803E-07, -0.36542481184005704, 0.001065, 0.001065
DataValue, 0.001075, 2.67429726E-07, -0.425555944442749, 0.001075, 0.001075
DataValue, 0.001085, 2.77208443E-07, -0.48552787303924605, 0.001085, 0.001085
DataValue, 0.001095, 2.77319828E-07, -0.54541105031967207, 0.001095, 0.001095
DataValue, 0.001105, 3.2932223300000004E-07, -0.60540270805358909, 0.001105, 0.001105
DataValue, 0.001115, 3.24559011E-07, -0.6656497120857241, 0.001115, 0.001115
DataValue, 0.0011250000000000001, 3.4900435300000003E-07, -0.725455403327942, 0.0011250000000000001, 0.0011250000000000001
DataValue, 0.0011350000000000002, 3.6027199700000003E-07, -0.78525161743164107, 0.0011350000000000002, 0.0011350000000000002
DataValue, 0.001145, 3.7168467800000003E-07, -0.84554511308670011, 0.001145, 0.001145
DataValue, 0.001155, 3.87813628E-07, -0.90539342164993308, 0.001155, 0.001155
DataValue, 0.001165, 4.0168430400000003E-07, -0.96509343385696411, 0.001165, 0.001165
DataValue, 0.001175, 4.21301962E-07, -1.025761723518372, 0.001175, 0.001175
DataValue, 0.001185, 4.1205086600000006E-07, -1.0862020254135132, 0.001185, 0.001185
DataValue, 0.001195, 4.2397644500000004E-07, -1.1458380222320561, 0.001195, 0.001195
DataValue, 0.0012050000000000001, 4.18822253E-07, -1.2059184312820441, 0.0012050000000000001, 0.0012050000000000001
DataValue, 0.0012150000000000002, 4.1690518100000003E-07, -1.2661256790161131, 0.0012150000000000002, 0.0012150000000000002
DataValue, 0.0012250000000000002, 4.0312630700000003E-07, -1.3255544900894172, 0.0012250000000000002, 0.0012250000000000002
DataValue, 0.001235, 4.04726677E-07, -1.3856239318847661, 0.001235, 0.001235
DataValue, 0.001245, 3.81073107E-07, -1.4466651678085332, 0.001245, 0.001245
DataValue, 0.001255, 3.7757951100000005E-07, -1.5063363313674931, 0.001255, 0.001255
DataValue, 0.001265, 3.5305006900000004E-07, -1.5660011768341062, 0.001265, 0.001265
DataValue, 0.001275, 3.16001604E-07, -1.6258723735809331, 0.001275, 0.001275
DataValue, 0.0012850000000000001, 3.29921335E-07, -1.6859591007232671, 0.0012850000000000001, 0.0012850000000000001
DataValue, 0.0012950000000000001, 3.12501015E-07, -1.7456760406494141, 0.0012950000000000001, 0.0012950000000000001
DataValue, 0.0013050000000000002, 2.91664179E-07, -1.8058505058288572, 0.0013050000000000002, 0.0013050000000000002
DataValue, 0.001315, 2.72628085E-07, -1.8662201166152952, 0.001315, 0.001315
DataValue, 0.001325, 3.0772938000000004E-07, -1.9259976148605351, 0.001325, 0.001325
DataValue, 0.001335, 2.5135122400000003E-07, -1.9857089519500732, 0.001335, 0.001335
DataValue, 0.001345, 2.4303904E-07, -2.045777320861816, 0.001345, 0.001345
DataValue, 0.001355, 2.7307513100000003E-07, -2.1056346893310551, 0.001355, 0.001355
DataValue, 0.0013650000000000001, 2.50749338E-07, -2.1653239727020264, 0.0013650000000000001, 0.0013650000000000001
DataValue, 0.0013750000000000001, 2.25859765E-07, -2.2254652976989751, 0.0013750000000000001, 0.0013750000000000001
DataValue, 0.0013850000000000002, 2.58536005E-07, -2.2859468460083012, 0.0013850000000000002, 0.0013850000000000002
DataValue, 0.0013950000000000002, 2.54941511E-07, -2.3454713821411133, 0.0013950000000000002, 0.0013950000000000002
DataValue, 0.001405, 2.1650008400000003E-07, -2.405134916305542, 0.001405, 0.001405
DataValue, 0.001415, 2.46822736E-07, -2.4656829833984384, 0.001415, 0.001415
DataValue, 0.001425, 2.5157334E-07, -2.5257687568664551, 0.001425, 0.001425
DataValue, 0.001435, 2.2428253E-07, -2.5852634906768803, 0.001435, 0.001435
DataValue, 0.001445, 2.3428545100000003E-07, -2.6454801559448242, 0.001445, 0.001445
DataValue, 0.0014550000000000001, 2.77712218E-07, -2.7053623199462891, 0.0014550000000000001, 0.0014550000000000001
DataValue, 0.0014650000000000002, 2.1561582700000002E-07, -2.7647464275360112, 0.0014650000000000002, 0.0014650000000000002
